nome,categoria,sinopse,preco
É ASSIM QUE COMEÇA (EDIÇÃO DE COLECIONADOR),Romances,"Todo final tem um começo. Agora em uma edição especial de colecionador, com pintura trilateral e exclusiva para o Brasil, conheça a sequência de 
                        É assim que acaba
                        . Da autora best-seller mundial e fenômeno editorial Colleen Hoover, que já vendeu mais de dois milhões de livros no país.
                    
                
                
                 
                
                Lily Bloom continua administrado uma floricultura. Seu ex-marido abusivo, Ryle Kincaid, ainda é um cirurgião. Mas agora os dois estão oficialmente divorciados e dividem a guarda da filha, Emerson.
                
                Quando Lily esbarra em Atlas — com quem não fala há quase dois anos —, é inegável que os dois podem retomar o relacionamento da adolescência, já que ele também está solteiro e parece corresponder seus sentimentos. Mas apesar de estar divorciada, Lily não está exatamente livre de Ryle. Culpando Atlas pelo fim de seu casamento, o ex-marido não está nada disposto a aceitar o novo relacionamento de Lily, principalmente no que diz respeito a Atlas, o último homem que aceitaria ver perto de sua filha e da ex-esposa.
                
                
                    Alternando entre as perspectivas de Altas e Lily, 
                    É assim que começa
                     segue o epílogo do fenômeno editorial 
                    É assim que acaba
                    . Revelando mais sobre o passado de Atlas e acompanhando Lily abraçar uma segunda chance no amor enquanto lida com um ex-marido ciumento, 
                    É assim que começa
                     prova que ninguém entrega uma leitura mais emocionante do que Colleen Hoover.
                
                
                 
                
                
                    “Em uma história permeada de tensão com lampejos de esperança, Hoover captura perfeitamente as dores de um coração partido e a felicidade de começar de novo.” — 
                    Kirkus Review","R$ 94,90"
TUDO É RIO,Romances,,"R$ 71,39"
VERITY (EDIÇÃO DE COLECIONADOR),Suspenses,"Um casal apaixonado. Uma intrusa. Três mentes doentias. Agora em uma edição especial de colecionador com capítulo extra inédito, conheça o thriller de estreia de Colleen Hoover, que se tornou um fenômeno editorial e best-seller mundial.
                
                
                 
                
                Verity Crawford é a autora best-seller por trás de uma série de sucesso. Ela está no auge de sua carreira, aclamada pela crítica e pelo público, no entanto, um súbito e terrível acidente acaba interrompendo suas atividades, deixando-a sem condições de concluir a história... E é nessa complexa circunstância que surge Lowen Ashleigh, uma escritora à beira da falência convidada a escrever, sob um pseudônimo, os três livros restantes da já consolidada série.
                
                Para que consiga entender melhor o processo criativo de Verity com relação aos livros publicados e, ainda, tentar descobrir seus possíveis planos para os próximos, Lowen decide passar alguns dias na casa dos Crawford, imersa no caótico escritório de Verity - e, lá, encontra uma espécie de autobiografia onde a escritora narra os fatos acontecidos desde o dia em que conhece Jeremy, seu marido, até os instantes imediatamente anteriores a seu acidente - incluindo sua perspectiva sobre as tragédias ocorridas às filhas do casal.
                
                Quanto mais o tempo passa, mais Lowen se percebe envolvida em uma confusa rede de mentiras e segredos, e, lentamente, adquire sua própria posição no jogo psicológico que rodeia aquela casa. Emocional e fisicamente atraída por Jeremy, ela precisa decidir: expor uma versão que nem ele conhece sobre a própria esposa ou manter o sigilo dos escritos de Verity?
                
                
                    Em 
                    Verity
                    , Colleen Hoover se afasta do estilo que a consagrou, os romances, para se aventurar em um suspense psicológico que deixou todo o mercado editorial sem palavras de tão avassalador. Através de uma narrativa perturbadora e chocante, 
                    Verity
                     explora o lado mais sombrio das relações humanas, com direito a uma surpresa chocante no final.
                
                
                
                    Classificação etária: 18 anos.","R$ 79,90"
TÁTICAS DO AMOR,Romances,"Febre no TikTok, comédia romântica narra a amizade mais que especial entre uma bailarina sonhadora e um irresistível jogador de futebol americano
                
                Bree Camden está totalmente apaixonada por seu amigo de longa data, a lenda do futebol americano Nathan Donelson. O único problema é que ela não pode revelar seus sentimentos, porque ele claramente a enxerga apenas como sua melhor amiga, sem nenhum potencial para algo mais. Mas tudo bem: a última coisa que Bree deseja é arruinar a relação dos dois.
                De qualquer forma, ela tem outras preocupações em mente. Após um acidente que acabou com suas chances de virar bailarina profissional, Bree decide mudar de plano e abre um estúdio, determinada a transformar a vida de suas alunas por meio da dança. No entanto, após outro aumento no aluguel do imóvel, ela corre sério risco de ver novamente seus sonhos irem por água abaixo.
                É então que Nathan aparece para salvar o dia — e compra o prédio inteiro para ela. Revoltada com esse gesto impulsivo, apesar de bem-intencionado, Bree exagera nas tequilas. É aí que tudo começa a desandar: ela acaba confessando seus segredos mais profundos para uma jornalista de um site de fofoca. Então, um vídeo seu viraliza, e o mundo inteiro começa a achar que Nathan e Bree são o casal perfeito.
                Antes que ela pare para pensar em tudo que revelou por culpa do álcool, a assessoria de imprensa de Nathan oferece à bailarina uma baita oportunidade, que pode significar a tão sonhada segurança financeira para Bree. O plano? Eles precisam fingir que estão apaixonados. Por três semanas inteiras.
                Em Táticas do amor, a maravilhosa comédia romântica de Sarah Adams que foi sensação no TikTok, a paixão e a amizade são capazes de provocar as maiores reviravoltas. A questão é: será que é cedo — ou tarde — demais para abrir o coração?","R$ 65,89"
NEM TE CONTO,Romances,"Da autora best seller do 
                        The New York Times
                        , Emily Henry
                        , Nem te conto
                         é um romance radiante e divertido sobre uma mulher e um homem que são opostos — mas têm a coisa errada em comum.
                    
                
                
                 
                
                Daphne sempre adorou a maneira como seu noivo, Peter, contava a história deles. Como eles se conheceram (em um dia de ventania), se apaixonaram (por causa de um chapéu errante) e voltaram para a cidade natal dele à beira do lago para começar a vida juntos. Ele era muito bom em contar tudo isso... até o momento em que percebeu que estava apaixonado por sua melhor amiga de infância, Petra.
                
                É assim que Daphne começa sua nova história: presa na bela cidadezinha de Waning Bay, no Michigan, sem amigos nem família, mas com o emprego dos sonhos como bibliotecária infantil (que mal paga as contas) e morando no apartamento da única pessoa que consegue entender sua situação, o ex de Petra, Miles Nowak.
                
                Desalinhado e caótico — e com uma queda por canções de amor de partir o coração —, Miles é o exato oposto da prática e discreta Daphne, de quem os colegas de trabalho sabem tão pouco que apostam que ela é do FBI ou está em um programa de proteção a testemunhas.
                
                Daphne e Miles conseguem evitar um ao outro na maior parte do tempo, até que um dia, enquanto afogam as mágoas, fazem uma tênue amizade e um plano. Se esse plano envolve a publicação de fotos sugestivas dos dois juntos em aventuras de verão, bem... quem pode culpá-los?
                
                Mas é tudo fingimento, claro, porque não tem como Daphne começar o novo capítulo da sua vida se apaixonando pelo ex da atual noiva do seu ex-noivo... certo?
                
                 
                
                “Aqui está ela, a rainha das leituras de verão… Emily Henry retorna com mais uma de suas comédias românticas destinadas a se tornar um hit.” — Elle
                
                
                    “A best-seller Emily Henry brinca com namoro de mentirinha nesta história tão dolorosa quanto encantadora sobre amar após a perda… Henry equilibra perfeitamente tristeza e conflito com amor e diversão, e os fãs de romance vão gostar de acompanhar os relacionamentos entre os personagens evoluírem e Daphne crescer como pessoa. A abordagem de Emily Henry sobre o amor de verão dá um quentinho no coração.” — 
                    Publishers Weekly
                
                
                
                    “Nos últimos anos, Emily Henry se tornou a rainha do romance, e isso não vai mudar tão cedo.” — 
                    Cosmopolitan
                
                
                
                    “Emily Henry conduz as coisas com máxima inteligência — dela e de seus leitores —, contando histórias profundas e sofisticadas que contemplam as convenções da comédia romântica sem se apoiar nelas de maneira excessiva… Os leitores dedicados de Henry sabem o que esperar: diálogos espirituosos, charme, coração e prazer até a última página.” — 
                    The Washington Post","R$ 59,90"
O BEIJO DA NEVE,Romances,"Nina e Elyan são patinadores mas as semelhanças terminam por aí. Ela irradia alegria, enquanto ele tem um coração de gelo... Mas a química entre os dois é capaz de derreter tudo pelo caminho. O beijo da neve é mais um emocionante romance de Babi A. Sette, autora de Senhorita Aurora.
                    
                
 
Nina é uma jovem patinadora que ficou afastada das pistas por questões familiares. Agora, ela se vê diante do desafio de retornar às competições, dividindo seu tempo entre treinos intensos e trabalhos que paguem as contas.
As coisas ficam ainda mais complicadas quando o patinador olímpico Elyan Kane — um cara frio e intenso, que desapareceu por cinco anos, após a morte trágica de sua parceira no esporte —, surge com uma proposta irrecusável para Nina.
O que Elyan não sabe — e, se depender de Nina e dos deuses hindus e irlandeses de suas avós, nunca saberá — é que na adolescência ela nutria uma paixão platônica por ele. E que o primeiro encontro entre os dois resultou em uma enorme desilusão para a garota.
Apesar das emoções conflitantes, Nina não pode perder a oportunidade de perseguir seus sonhos na patinação, mesmo que isso signifique lidar com a presença irritante de Elyan e com aqueles olhares longos e penetrantes, que vêm fazendo uma bagunça em seu coração.
Entre as fascinantes auroras boreais do Canadá, um castelo com fama de mal-assombrado e as pistas de patinação, eles enfrentarão obstáculos, medos e sentimentos contraditórios. E tentarão provar que a paixão — pela patinação e talvez por alguém que está bem ao lado — pode superar qualquer adversidade.
 
“Envolvente do começo ao fim, O beijo da neve vai te levar numa trajetória intensa e emocionante, daquelas que não tem como parar de acompanhar. (...)”  — Bruna Calazans, repórter com passagem pela Atrevida, Yahoo Brasil e UOL
“Sensível, delicado e arrebatador. Não se surpreenda se você for de sorrisos a lágrimas em uma virada de página. Babi A. Sette segue escrevendo romances que nos fazem suspirar do início ao fim. (...)” — Daniela Porazza, da página Meu Romeo
“O clássico clichê de inimigos a amantes é acompanhado de uma surpreendente profundidade, trazendo diversas referências ao mundo pop e nos apresentando o universo mágico da patinação artística. Elyan e Nina vão te deixar com o coração quentinho!” — Ju Barcellos, da página Desaniversários","R$ 59,90"
QUARTA ASA,Ficção Fantasiosa,"Um dragão sem seu cavaleiro é uma tragédia.
                    
                

                    
                        Um cavaleiro sem seu dragão é um homem morto.
                    
                


                    
                        Em Quarta Asa, best-seller #1 do The New York Times, uma jovem precisa sobreviver ao treinamento em uma escola de elite para poderosos cavaleiros de dragões, onde a única regra é se formar... ou morrer tentando.
                    
                
 
Violet Sorrengail, uma jovem de vinte anos, estava destinada a entrar na Divisão dos Escribas, levando uma vida relativamente tranquila entre os livros e as aulas de História. No entanto, a general comandante das forças de Navarre – também conhecida como sua mãe –, durona como as garras de um dragão, ordena que Violet se junte às centenas de candidatos que buscam se tornar a elite de seu país: cavaleiros de dragões.

O problema é que, quando você é menor que todos os demais candidatos e certamente mais frágil que eles, a morte está a apenas uma batida de coração de distância... Porque os dragões não se unem a humanos “frágeis”. Eles os reduzem a cinzas.

Todos no Instituto Militar Basgiath têm um objetivo. Com menos dragões disponíveis que cadetes, a maioria estaria disposta a matar Violet para aumentar suas próprias chances de sucesso. O restante a mataria apenas por ser filha de quem é – e um bom exemplo disso parece ser Xaden Riorson, o líder de esquadrão mais poderoso e implacável na Divisão dos Cavaleiros.

Entre amigos, inimigos e amantes, Violet precisará contar com sua inteligência se quiser sobreviver. Mas as proteções do reino estão falhando e a cada dia que passa a guerra se torna mais mortal. E o pior: Violet começa a suspeitar que a liderança está escondendo um terrível segredo.","R$ 99,00"
VÉSPERA,Contos e Crônicas,,"R$ 71,39"
A MANDÍBULA DE CAIM,Romances,"Em 1934, o compilador de palavras cruzadas do The Observer, Edward Powys Mathers, escreveu um romance ímpar: A mandíbula de Caim. A obra, que faz referência à primeira arma assassina de que se tem notícia, foi escrita sob o pseudônimo de Torquemada. A história não só era um suspense policial; era também um dos quebra-cabeças mais intrigantes já publicados.

O leitor precisará identificar seis assassinatos distribuídos em 100 páginas impressas em ordem totalmente aleatória. Existem milhões de combinações possíveis, mas apenas uma é a sequência correta. Com muita lógica e uma leitura perspicaz, pode-se organizá-las na progressão certa, de modo que se revelem seis vítimas de assassinato e seus respectivos algozes. O quebra-cabeça é extremamente difícil, a solução do problema permanece em segredo e até hoje apenas três pessoas conseguiram decifrar o enigma.

Será que você consegue se juntar a esse grupo seleto?","R$ 54,89"
EU E ESSE MEU CORAÇÃO,Romances,"Leah MacKenzie, de 17 anos, não tem coração. O que a mantém viva é um coração artificial que ela carrega dentro de uma mochila. 
                
Com seu tipo sanguíneo raro, um transplante é como um sonho distante. Conformada, ela tenta se esquecer de que está com os dias contados, criando uma lista de “coisas para fazer antes de morrer”.
De repente, Leah recebe uma segunda chance: há um coração disponível! O problema é quando ela descobre que o doador é um garoto da sua escola – e que supostamente se matou!
Matt, o irmão gêmeo do doador, se recusa a acreditar que Eric se suicidou. Quando Leah o procura, eles descobrem que ambos têm sonhos semelhantes que podem ter pistas do que realmente aconteceu a Eric.
Enquanto tentam desvendar esse mistério, Matt e Leah se apaixonam e não querem correr o risco de perder um ao outro. Mas nem a vida nem um coração transplantado vem com garantias.
Quem diria que viver exige mais coragem do que morrer?","R$ 65,89"
